run ----       objective       ----         violation        
--- ---- --------------------- ---- -------------------------
  1 ---- 12450.010869486410229 ----                         0
  2 ---- 14977.707421646780858 ----                         0
  3 ---- 11001.370095015508923 ----                         0
  4 ---- 10166.609109231307229 ----                         0
  5 ----  11301.98271682050472 ----                         0
  6 ---- 18355.431339134491282 ----                         0
  7 ---- 14977.707421646780858 ----                         0
  8 ---- 13863.654811376321959 ---- 0.00063614486061136510386
  9 ---- 15114.754955033769875 ----                         0
 10 ----   11107.5798835170026 ----                         0
