run ----       objective        ----         violation        
--- ---- ---------------------- ---- -------------------------
  1 ---- -30663.124012747044617 ---- 4.8891799551142867131e-06
  2 ---- -30660.188329942051496 ----                         0
  3 ---- -30654.468092881874327 ----                         0
  4 ---- -30664.499987354876794 ---- 0.00045644690425206135842
  5 ---- -30665.430329578761302 ---- 0.00048590897356959317221
  6 ---- -30659.292139500386838 ----                         0
  7 ---- -30664.499987354876794 ---- 0.00045644690425206135842
  8 ---- -30664.499987354876794 ---- 0.00045644690425206135842
  9 ---- -30657.645355563494377 ----                         0
 10 ---- -30665.430329578761302 ---- 0.00048590897356959317221
