run ----       objective        ----         violation        
--- ---- ---------------------- ---- -------------------------
  1 ---- -14.806741741633153708 ----                         0
  2 ---- -11.955580481038239782 ---- 0.00068591771439496795892
  3 ---- -14.716093319556939889 ----                         0
  4 ---- -11.990103738759305685 ----                         0
  5 ---- -11.955580481038239782 ---- 0.00068591771439496795892
  6 ---- -11.990103738759305685 ----                         0
  7 ---- -11.992886981560118898 ----                         0
  8 ---- -14.825331922637875692 ----                         0
  9 ---- -14.790335522988337758 ----                         0
 10 ---- -11.990103738759305685 ----                         0
 11 ---- -14.771827644242048194 ----                         0
 12 ---- -12.789902516177422243 ----                         0
 13 ---- -11.979369658230478279 ----                         0
 14 ---- -11.979369658230478279 ----                         0
 15 ---- -11.989433508463346101 ----                         0
 16 ---- -11.979953802362009796 ----                         0
 17 ---- -12.789902516177422243 ----                         0
 18 ---- -14.771827644242048194 ----                         0
 19 ---- -14.660897624161329134 ----                         0
 20 ---- -11.992886981560118898 ----                         0
 21 ---- -11.935896433868974142 ----                         0
 22 ---- -12.715316698115092464 ----                         0
 23 ---- -11.979953802362009796 ----                         0
 24 ---- -11.992886981560118898 ----                         0
 25 ---- -11.979953802362009796 ----                         0
 26 ---- -14.681177213828489059 ----                         0
 27 ---- -11.988810938194557565 ----                         0
 28 ---- -11.979953802362009796 ----                         0
 29 ---- -11.964627049929633884 ----                         0
 30 ---- -11.979369658230478279 ----                         0
 31 ---- -11.992886981560118898 ----                         0
 32 ---- -11.992886981560118898 ----                         0
 33 ---- -12.715316698115092464 ----                         0
 34 ---- -14.721322087548474045 ----                         0
 35 ---- -14.721322087548474045 ----                         0
 36 ---- -14.761997841053656089 ----                         0
 37 ---- -14.825331922637875692 ----                         0
 38 ---- -11.988810938194557565 ----                         0
 39 ---- -11.990103738759305685 ----                         0
 40 ---- -14.660897624161329134 ----                         0
 41 ---- -14.716093319556939889 ----                         0
 42 ----  -14.77573923326237626 ----                         0
 43 ---- -11.989433508463346101 ----                         0
 44 ----  -11.94841891860130545 ----                         0
 45 ---- -11.990103738759305685 ----                         0
 46 ---- -11.990103738759305685 ----                         0
 47 ---- -11.973368133099560495 ----                         0
 48 ---- -11.988810938194557565 ----                         0
 49 ---- -11.979369658230478279 ----                         0
 50 ---- -12.715316698115092464 ----                         0
