run ----       objective       ---- violation
--- ---- --------------------- ---- ---------
  1 ----  689.0500237970533135 ----         0
  2 ---- 688.17161143102509868 ----         0
  3 ---- 688.17161143102509868 ----         0
  4 ---- 692.40147407801487134 ----         0
  5 ---- 689.07977939473005335 ----         0
  6 ---- 690.08824178515692438 ----         0
  7 ---- 690.95309294447963566 ----         0
  8 ----  687.9508096854027599 ----         0
  9 ---- 690.00268272842936312 ----         0
 10 ---- 687.79580713865573216 ----         0
 11 ---- 692.40147407801487134 ----         0
 12 ---- 690.95309294447963566 ----         0
 13 ---- 702.09464134915765499 ----         0
 14 ---- 685.15220192358071927 ----         0
 15 ---- 685.15220192358071927 ----         0
 16 ---- 688.17161143102509868 ----         0
 17 ---- 691.99560353133142598 ----         0
 18 ---- 693.35530835187023513 ----         0
 19 ----  688.9154177882555814 ----         0
 20 ---- 689.13761705872752827 ----         0
 21 ---- 688.17161143102509868 ----         0
 22 ---- 689.07977939473005335 ----         0
 23 ---- 696.67738921379645944 ----         0
 24 ---- 688.17161143102509868 ----         0
 25 ---- 689.13761705872752827 ----         0
 26 ---- 689.07977939473005335 ----         0
 27 ----  687.9508096854027599 ----         0
 28 ---- 688.17161143102509868 ----         0
 29 ---- 688.69440426860489879 ----         0
 30 ----  689.0500237970533135 ----         0
 31 ----  689.0500237970533135 ----         0
 32 ---- 687.79580713865573216 ----         0
 33 ---- 690.08824178515692438 ----         0
 34 ---- 688.69440426860489879 ----         0
 35 ---- 687.79580713865573216 ----         0
 36 ----  689.0500237970533135 ----         0
 37 ----  687.9508096854027599 ----         0
 38 ----  687.9508096854027599 ----         0
 39 ---- 690.95309294447963566 ----         0
 40 ---- 692.40147407801487134 ----         0
 41 ---- 688.17161143102509868 ----         0
 42 ---- 685.15220192358071927 ----         0
 43 ----  687.9508096854027599 ----         0
 44 ---- 685.15220192358071927 ----         0
 45 ----  687.9508096854027599 ----         0
 46 ---- 689.07977939473005335 ----         0
 47 ---- 693.34395078083525732 ----         0
 48 ----  687.9508096854027599 ----         0
 49 ---- 688.17161143102509868 ----         0
 50 ---- 688.69440426860489879 ----         0
