run ----       objective        ----         violation        
--- ---- ---------------------- ---- -------------------------
  1 ---- 0.74909833916297718925 ---- 0.00090475674253032156713
  2 ---- 0.74901724269457248262 ---- 0.00098824802108504750109
  3 ---- 0.74907936045105549816 ---- 0.00094596457590545579563
  4 ---- 0.74928239492386428111 ---- 0.00099980003084904067734
  5 ---- 0.74933719688403921388 ---- 0.00066832719863285650064
  6 ---- 0.74903647157317987393 ---- 0.00096394232711000116254
  7 ----  0.7491353107456564242 ---- 0.00086471452306757790041
  8 ---- 0.74921115693801698665 ---- 0.00091216546507516538256
  9 ---- 0.74909833916297718925 ---- 0.00090475674253032156713
 10 ----  0.7491353107456564242 ---- 0.00086471452306757790041
 11 ---- 0.74928239492386428111 ---- 0.00099980003084904067734
 12 ---- 0.74921115693801698665 ---- 0.00091216546507516538256
 13 ---- 0.74921115693801698665 ---- 0.00091216546507516538256
 14 ---- 0.74928239492386428111 ---- 0.00099980003084904067734
 15 ---- 0.74902030432988708775 ---- 0.00097971161488191738087
 16 ---- 0.74933719688403921388 ---- 0.00066832719863285650064
 17 ---- 0.74919460661546255498 ---- 0.00085404064844385452204
 18 ---- 0.74928239492386428111 ---- 0.00099980003084904067734
 19 ---- 0.74907936045105549816 ---- 0.00094596457590545579563
 20 ---- 0.74901724269457248262 ---- 0.00098824802108504750109
 21 ---- 0.74919460661546255498 ---- 0.00085404064844385452204
 22 ----  0.7490569096700168128 ---- 0.00094424845052787365063
 23 ---- 0.74901724269457248262 ---- 0.00098824802108504750109
 24 ---- 0.74928239492386428111 ---- 0.00099980003084904067734
 25 ---- 0.74901724269457248262 ---- 0.00098824802108504750109
 26 ---- 0.74910319424766869112 ---- 0.00098298329196416789344
 27 ---- 0.74907936045105549816 ---- 0.00094596457590545579563
 28 ---- 0.74901121696919503723 ---- 0.00099892032059673008249
 29 ---- 0.74901724269457248262 ---- 0.00098824802108504750109
 30 ---- 0.74905920068780629251 ---- 0.00097748857101387365276
 31 ---- 0.74901724269457248262 ---- 0.00098824802108504750109
 32 ---- 0.74917461229716453275 ---- 0.00082685025181045146425
 33 ---- 0.74902030432988708775 ---- 0.00097971161488191738087
 34 ---- 0.74905920068780629251 ---- 0.00097748857101387365276
 35 ---- 0.74901724269457248262 ---- 0.00098824802108504750109
 36 ----  0.7491353107456564242 ---- 0.00086471452306757790041
 37 ----  0.7491353107456564242 ---- 0.00086471452306757790041
 38 ---- 0.74901724269457248262 ---- 0.00098824802108504750109
 39 ---- 0.74928239492386428111 ---- 0.00099980003084904067734
 40 ---- 0.74907936045105549816 ---- 0.00094596457590545579563
 41 ----  0.7491353107456564242 ---- 0.00086471452306757790041
 42 ---- 0.74909833916297718925 ---- 0.00090475674253032156713
 43 ---- 0.74902030432988708775 ---- 0.00097971161488191738087
 44 ---- 0.74909833916297718925 ---- 0.00090475674253032156713
 45 ---- 0.74933719688403921388 ---- 0.00066832719863285650064
 46 ----  0.7491353107456564242 ---- 0.00086471452306757790041
 47 ---- 0.74907936045105549816 ---- 0.00094596457590545579563
 48 ---- 0.74901724269457248262 ---- 0.00098824802108504750109
 49 ---- 0.74921115693801698665 ---- 0.00091216546507516538256
 50 ---- 0.74907936045105549816 ---- 0.00094596457590545579563
